                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2079,                 2.6766,                 1.5548,                0.00333,                      1,                0.27562,                0.15005,                0.45288,                 3.1271,                 1.0795,                      0,                      0,                      0
                      2,                0.84871,                  2.574,                 1.2728,                0.00333,                      1,                0.33661,                0.19302,                0.42458,                 3.1304,                 1.0574,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                0.76867,                 2.4264,                 1.1183,                0.00333,                      1,                0.56545,                0.41405,                0.37408,                 3.1269,                 1.0207,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                0.73055,                  2.386,                 1.1834,                0.00333,                      1,                0.68643,                0.53511,                0.32783,                 3.1138,                0.98738,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                0.68104,                 2.3866,                 1.1419,                0.00333,                      1,                0.72514,                0.55011,                0.29876,                  3.082,                 0.9502,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                0.46389,                 2.2765,                 1.0448,                0.00333,                      1,                0.71553,                0.56436,                0.30247,                 3.0541,                0.90983,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                0.71067,                 2.3685,                 1.1818,                0.00333,                      1,                0.74114,                 0.6535,                0.31207,                 3.0421,                0.89566,             0.00011287,             0.00011287,             0.00011287
                      8,                0.46158,                 2.1097,                  1.013,                0.00333,                      1,                0.80633,                  0.691,                0.32421,                 3.0241,                0.90113,              0.0001303,              0.0001303,              0.0001303
                      9,                0.48445,                 1.7657,                0.92436,                0.00333,                      1,                 0.9125,                 0.7931,                0.33905,                   2.98,                0.91269,             0.00014733,             0.00014733,             0.00014733
                     10,                0.52333,                 1.8705,                 1.0483,                0.00333,                      1,                0.92667,                0.80927,                0.35226,                 2.9552,                0.93332,             0.00016396,             0.00016396,             0.00016396
                     11,                0.44902,                 1.5461,                0.93756,                0.00333,                      1,                0.97214,                0.85719,                0.38609,                 2.9049,                0.95232,              0.0001802,              0.0001802,              0.0001802
                     12,                0.43493,                 1.1777,                0.96482,                0.00333,                      1,                  0.995,                0.92267,                0.36116,                 2.8415,                0.94665,             0.00019604,             0.00019604,             0.00019604
                     13,                0.55576,                 1.2886,                 1.0008,                0.00333,                      1,                  0.995,                0.93704,                0.30372,                 2.7816,                0.92024,             0.00021149,             0.00021149,             0.00021149
                     14,                0.35088,                 1.2908,                 1.0764,                0.00333,                      1,                  0.995,                0.97619,                0.28611,                 2.7694,                 0.8869,             0.00022654,             0.00022654,             0.00022654
                     15,                0.51033,                 1.6059,                  1.046,                0.00333,                      1,                  0.955,                0.93665,                0.28345,                 2.7814,                0.86241,             0.00024119,             0.00024119,             0.00024119
                     16,                 0.4797,                0.93733,                0.96557,                0.00333,                      1,                0.80633,                0.78204,                0.27981,                 2.8209,                0.85456,             0.00025545,             0.00025545,             0.00025545
                     17,                0.54357,                 1.0508,                0.99931,                0.00333,                      1,                0.42643,                0.40282,                0.25996,                 2.8942,                0.86336,             0.00026931,             0.00026931,             0.00026931
                     18,                0.42743,                0.91178,                0.94434,                0.00333,                      1,                0.42643,                0.40282,                0.25996,                 2.8942,                0.86336,             0.00028278,             0.00028278,             0.00028278
                     19,                0.57726,                 1.0542,                 1.0008,                0.00333,                      1,                0.20586,                 0.1997,                0.31383,                 2.9892,                0.89156,             0.00029585,             0.00029585,             0.00029585
                     20,                0.47309,                 1.0845,                0.95678,                0.00333,                      1,                0.20586,                 0.1997,                0.31383,                 2.9892,                0.89156,             0.00030852,             0.00030852,             0.00030852
                     21,                0.51866,                  1.104,                0.99685,                0.00333,                      1,                0.15711,                0.14374,                0.38014,                 2.9724,                0.93254,              0.0003208,              0.0003208,              0.0003208
                     22,                0.37171,                0.84922,                0.96111,                0.00333,                      1,                0.15711,                0.14374,                0.38014,                 2.9724,                0.93254,             0.00033268,             0.00033268,             0.00033268
                     23,                0.44113,                 0.9057,                0.93951,                0.00333,                      1,                0.22962,                0.21264,                0.39107,                 2.9332,                0.94486,             0.00034417,             0.00034417,             0.00034417
