                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 3.1983,                      0,                      0,                      0,                      0,                      0,                      0,                  2.527,                      0,                      0,                      0,                      0
                      2,                      0,                 3.2035,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5267,                      0,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                      0,                 3.1997,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5226,                      0,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                      0,                 3.2051,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5135,                      0,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                      0,                 3.1973,                      0,                      0,                      0,                      0,                      0,                      0,                 2.4978,                      0,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                      0,                  3.233,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5006,                      0,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                      0,                 3.1953,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5194,                      0,             0.00011287,             0.00011287,             0.00011287
                      8,                      0,                 3.1825,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5294,                      0,              0.0001303,              0.0001303,              0.0001303
                      9,                      0,                 3.1889,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5459,                      0,             0.00014733,             0.00014733,             0.00014733
                     10,                      0,                 3.1652,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5449,                      0,             0.00016396,             0.00016396,             0.00016396
                     11,                      0,                 3.1553,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5434,                      0,              0.0001802,              0.0001802,              0.0001802
                     12,                      0,                 3.1474,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5352,                      0,             0.00019604,             0.00019604,             0.00019604
                     13,                      0,                 3.1303,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5277,                      0,             0.00021149,             0.00021149,             0.00021149
                     14,                      0,                 3.1191,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5123,                      0,             0.00022654,             0.00022654,             0.00022654
                     15,                      0,                 3.1113,                      0,                      0,                      0,                      0,                      0,                      0,                 2.4946,                      0,             0.00024119,             0.00024119,             0.00024119
                     16,                      0,                 3.1012,                      0,                      0,                      0,                      0,                      0,                      0,                 2.4911,                      0,             0.00025545,             0.00025545,             0.00025545
                     17,                      0,                 3.0833,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5104,                      0,             0.00026931,             0.00026931,             0.00026931
                     18,                      0,                 3.0802,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5104,                      0,             0.00028278,             0.00028278,             0.00028278
