                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 7.5797,                      0,                      0,                      0,                      0,                      0,                      0,                 6.1561,                      0,                      0,                      0,                      0
                      2,                      0,                 7.5596,                      0,                      0,                      0,                      0,                      0,                      0,                 6.1595,                      0,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                      0,                 7.5279,                      0,                      0,                      0,                      0,                      0,                      0,                 6.1616,                      0,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                      0,                 7.4864,                      0,                      0,                      0,                      0,                      0,                      0,                 6.1646,                      0,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                      0,                 7.4794,                      0,                      0,                      0,                      0,                      0,                      0,                 6.1678,                      0,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                      0,                 7.3868,                      0,                      0,                      0,                      0,                      0,                      0,                 6.1684,                      0,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                      0,                 7.3526,                      0,                      0,                      0,                      0,                      0,                      0,                 6.1706,                      0,             0.00011287,             0.00011287,             0.00011287
                      8,                      0,                 7.3198,                      0,                      0,                      0,                      0,                      0,                      0,                 6.1713,                      0,              0.0001303,              0.0001303,              0.0001303
                      9,                      0,                 7.3022,                      0,                      0,                      0,                      0,                      0,                      0,                  6.171,                      0,             0.00014733,             0.00014733,             0.00014733
                     10,                      0,                 7.2721,                      0,                      0,                      0,                      0,                      0,                      0,                 6.1672,                      0,             0.00016396,             0.00016396,             0.00016396
                     11,                      0,                 7.2015,                      0,                      0,                      0,                      0,                      0,                      0,                 6.1637,                      0,              0.0001802,              0.0001802,              0.0001802
                     12,                      0,                 7.1543,                      0,                      0,                      0,                      0,                      0,                      0,                 6.1646,                      0,             0.00019604,             0.00019604,             0.00019604
                     13,                      0,                 7.0885,                      0,                      0,                      0,                      0,                      0,                      0,                  6.168,                      0,             0.00021149,             0.00021149,             0.00021149
                     14,                      0,                 7.0279,                      0,                      0,                      0,                      0,                      0,                      0,                  6.178,                      0,             0.00022654,             0.00022654,             0.00022654
                     15,                      0,                 7.0116,                      0,                      0,                      0,                      0,                      0,                      0,                 6.1887,                      0,             0.00024119,             0.00024119,             0.00024119
                     16,                      0,                 6.8987,                      0,                      0,                      0,                      0,                      0,                      0,                 6.2004,                      0,             0.00025545,             0.00025545,             0.00025545
                     17,                      0,                 6.7996,                      0,                      0,                      0,                      0,                      0,                      0,                 6.2095,                      0,             0.00026931,             0.00026931,             0.00026931
                     18,                      0,                 6.7676,                      0,                      0,                      0,                      0,                      0,                      0,                 6.2095,                      0,             0.00028278,             0.00028278,             0.00028278
                     19,                      0,                  6.766,                      0,                      0,                      0,                      0,                      0,                      0,                 6.2104,                      0,             0.00029585,             0.00029585,             0.00029585
                     20,                      0,                 6.7154,                      0,                      0,                      0,                      0,                      0,                      0,                 6.2104,                      0,             0.00030852,             0.00030852,             0.00030852
                     21,                      0,                 6.6774,                      0,                      0,                      0,                      0,                      0,                      0,                 6.1988,                      0,              0.0003208,              0.0003208,              0.0003208
                     22,                      0,                 6.6199,                      0,                      0,                      0,                      0,                      0,                      0,                 6.1988,                      0,             0.00033268,             0.00033268,             0.00033268
                     23,                      0,                 6.5732,                      0,                      0,                      0,                      0,                      0,                      0,                 6.1839,                      0,             0.00034417,             0.00034417,             0.00034417
                     24,                      0,                 6.4743,                      0,                      0,                      0,                      0,                      0,                      0,                 6.1839,                      0,             0.00035526,             0.00035526,             0.00035526
                     25,                      0,                 6.4719,                      0,                      0,                      0,                      0,                      0,                      0,                 6.1725,                      0,             0.00036595,             0.00036595,             0.00036595
                     26,                      0,                 6.4013,                      0,                      0,                      0,                      0,                      0,                      0,                 6.1725,                      0,             0.00037625,             0.00037625,             0.00037625
                     27,                      0,                 6.3538,                      0,                      0,                      0,                      0,                      0,                      0,                 6.1711,                      0,             0.00038615,             0.00038615,             0.00038615
                     28,                      0,                 6.2411,                      0,                      0,                      0,                      0,                      0,                      0,                 6.1711,                      0,             0.00039566,             0.00039566,             0.00039566
                     29,                      0,                 6.1809,                      0,                      0,                      0,                      0,                      0,                      0,                 6.1887,                      0,             0.00040477,             0.00040477,             0.00040477
                     30,                      0,                 6.1216,                      0,                      0,                      0,                      0,                      0,                      0,                 6.1887,                      0,             0.00041348,             0.00041348,             0.00041348
                     31,                      0,                 6.0584,                      0,                      0,                      0,                      0,                      0,                      0,                 6.1971,                      0,              0.0004218,              0.0004218,              0.0004218
                     32,                      0,                 5.9386,                      0,                      0,                      0,                      0,                      0,                      0,                 6.1971,                      0,             0.00042972,             0.00042972,             0.00042972
                     33,                      0,                 5.8116,                      0,                      0,                      0,                      0,                      0,                      0,                 6.1839,                      0,             0.00043725,             0.00043725,             0.00043725
                     34,                      0,                 5.7554,                      0,                      0,                      0,                      0,                      0,                      0,                 6.1839,                      0,             0.00044438,             0.00044438,             0.00044438
                     35,                      0,                 5.7378,                      0,                      0,                      0,                      0,                      0,                      0,                  6.161,                      0,             0.00045111,             0.00045111,             0.00045111
                     36,                      0,                 5.5762,                      0,                      0,                      0,                      0,                      0,                      0,                  6.161,                      0,             0.00045745,             0.00045745,             0.00045745
                     37,                      0,                 5.5839,                      0,                      0,                      0,                      0,                      0,                      0,                 6.1433,                      0,             0.00046339,             0.00046339,             0.00046339
                     38,                      0,                  5.481,                      0,                      0,                      0,                      0,                      0,                      0,                 6.1433,                      0,             0.00046894,             0.00046894,             0.00046894
                     39,                      0,                 5.5259,                      0,                      0,                      0,                      0,                      0,                      0,                   6.08,                      0,             0.00047409,             0.00047409,             0.00047409
                     40,                      0,                 5.4278,                      0,                      0,                      0,                      0,                      0,                      0,                   6.08,                      0,             0.00047884,             0.00047884,             0.00047884
                     41,                      0,                 5.5223,                      0,                      0,                      0,                      0,                      0,                      0,                 5.9525,                      0,              0.0004832,              0.0004832,              0.0004832
                     42,                      0,                 5.2533,                      0,                      0,                      0,                      0,                      0,                      0,                 5.9525,                      0,             0.00048716,             0.00048716,             0.00048716
                     43,                      0,                 5.2861,                      0,                      0,                      0,                      0,                      0,                      0,                 5.8361,                      0,             0.00049073,             0.00049073,             0.00049073
                     44,                      0,                 5.4082,                      0,                      0,                      0,                      0,                      0,                      0,                 5.8361,                      0,              0.0004939,              0.0004939,              0.0004939
                     45,                      0,                 5.1671,                      0,                      0,                      0,                      0,                      0,                      0,                 5.7165,                      0,             0.00049667,             0.00049667,             0.00049667
                     46,                      0,                 5.0985,                      0,                      0,                      0,                      0,                      0,                      0,                 5.7165,                      0,             0.00049905,             0.00049905,             0.00049905
